plateifu,rad,kPAkin,kPAerr,k51,k51err,kPAks,pn
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
10214-3703,1.48434,14.41671908,7.256007257,0.013772456,0.03432001,13.5000925,23
10216-9101,2.121081,94.41990996,12.56216699,0.569437852,0.800653418,55.50006917,53
10493-6103,2.039097,96.12482974,12.89816141,0.173050228,0.162524774,99.50004472,43
10494-12702,4.11588,69.72408629,2.30380777,0.129884588,0.053446854,100.5000442,153
10496-6104,4.26108,126.2148572,2.088915766,3.199523753,3.273301861,38.00007889,170
10498-3702,2.095599,62.95555483,12.23695421,0.095533647,0.048049684,76.00005778,49
10498-6102,1.16034,168.8038249,26.19272797,0.020379856,0.241600824,166.5000075,13
10499-12702,3.98424,12.94420698,3.905566605,0.118406737,0.146582437,64.50006417,146
10502-12702,1.488606,81.79702977,10.42484587,0.009157875,0.050608627,72.00006,23
10503-9101,2.48766,15.14494249,10.32889368,0.077866228,0.08051452,64.50006417,52
10510-6104,2.006391,145.8773077,2.546204133,0.01119344,0.011069066,147.5000181,27
10510-9102,2.333724,1.943557257,2.49355011,0.007400872,0.006243425,5.000097222,47
10513-12701,2.808489,21.64975308,1.237686948,0.019433798,0.016190792,23.50008694,83
10841-12704,2.5468545,24.533139,6.366915791,0.12266779,0.056216469,30.50008306,65
11010-3704,0.91567584,45.80637902,23.76189002,0.017871825,0.126889396,58.5000675,9
11011-9102,3.2125482,161.9399684,1.85599039,0.13824909,0.070675928,152.5000153,110
11020-9101,2.30856399,75.11188445,8.558544811,0.244539659,0.231746482,99.50004472,55
11024-6103,2.7621264,24.87101283,1.452541454,0.034842526,0.043417162,24.50008639,53
11747-12704,3.5535081,172.1055837,6.78538954,0.081072617,0.063771545,3.000098333,142
11749-3702,1.58940612,134.4752078,5.101459179,0.003393375,0.018970108,140.0000222,29
11755-3701,1.52959641,63.46955581,1.903995086,0.026314549,0.025560831,66.50006306,23
11761-9102,5.295819,140.7420755,1.014953817,0.088531757,0.025199963,139.0000228,243
11823-12705,2.08278165,27.99227841,5.181408489,0.06694405,0.095256668,72.50005972,47
11827-12703,2.0384199,97.55784515,36.58179474,2.174362022,10.22106527,169.0000061,29
11827-3702,1.52918028,78.74033122,7.799759653,0.020205003,0.028775237,89.00005056,22
11838-6104,2.4603828,156.6314945,28.25137511,0.228676668,0.475112659,99.000045,65
11863-6101,1.605594,25.0808165,10.69616915,0.024726995,0.071524674,16.00009111,29
11872-12701,2.9218866,98.55173395,34.66023523,0.003884559,0.050294681,113.0000372,98
11947-3701,1.53673038,116.3355603,13.69079821,0.322098346,1.529873342,59.50006694,24
11960-9102,2.1392556,107.9896003,6.85586676,0.009013555,0.026100002,117.000035,41
11963-3703,0.92606484,37.29689217,16.35166619,0.105010529,0.862033982,58.5000675,9
11983-12703,2.788944,114.3033353,6.348266867,0.11903702,0.121958387,128.0000289,79
12073-9102,3.4891839,126.1225693,2.856890342,0.057459795,0.014773854,113.5000369,115
12084-9101,5.1087645,39.312806,1.163201881,0.026031579,0.012277368,35.00008056,237
12089-3701,2.9368338,96.32975065,6.99860679,0.236537516,0.084047956,130.0000278,81
12093-12702,5.044773,69.89281801,2.806107089,0.237857395,0.057819427,48.50007306,279
12624-6103,1.84724622,164.7480529,5.07564385,0.017783153,0.089321259,17.00009056,37
12651-12703,5.052147,88.97626097,2.257745733,0.25735406,0.087627064,106.0000411,179
12675-12705,2.4784329,27.36301598,1.733978713,0.121588904,0.060686422,26.00008556,67
12682-3704,0.98541714,27.5772704,12.25447399,0.012185703,0.053071863,19.50008917,9
12700-1901,0.67024878,0.489291509,0.663991405,0.343410491,0.169167253,1.000099444,5
7960-9102,2.237124,16.59681407,1.592554008,0.149529868,0.062237945,17.50009028,41
7975-3702,1.298484,18.00100143,3.153859388,0.013856864,0.021241283,16.00009111,19
7981-12702,2.523504,45.54854587,6.374882518,0.380889592,0.452036129,71.00006056,73
7981-12705,2.738772,44.43742001,7.511379719,0.04274426,0.044375747,58.5000675,60
8075-12704,2.605365,37.88765046,6.935879063,0.180710988,0.200151344,85.5000525,68
8075-9101,2.357118,83.06616129,9.620260245,0.071951186,0.234351185,129.5000281,59
8089-3702,1.305594,97.37243211,33.41556548,0.057911488,0.241912637,90.00005,21
8089-3704,1.358547,79.62319253,3.205011132,0.017384408,0.035388113,81.50005472,19
8095-6101,1.944624,14.26340818,1.466912292,0.031222034,0.056065599,42.50007639,19
8131-12705,1.585872,111.3683706,11.46711261,0.151656092,0.155983455,116.5000353,27
8132-9102,2.079798,99.02439083,3.133561516,0.027386275,0.024950656,91.00004944,51
8145-12702,3.4557,36.79834863,2.709489957,0.051794181,0.029498402,53.50007028,99
8154-3702,1.320519,5.021574872,3.266848353,0.011467784,0.021232419,5.000097222,21
8158-6103,1.934571,99.60022439,12.37669033,0.032660371,0.031383335,107.5000403,41
8239-12701,1.63953,167.6394232,2.768791009,0.071562026,0.115182103,138.5000231,23
8240-12703,2.4204,7.393114155,5.259682173,0.113044786,0.146315287,6.000096667,45
8244-6103,1.781898,8.204991458,11.89501906,0.074425324,0.143921165,11.50009361,27
8245-3703,3.37296,134.070719,3.472198356,1.445491282,0.961126247,166.5000075,83
8247-9102,2.235951,165.2294682,2.987026411,0.079532756,0.151207406,34.50008083,59
8254-6101,1.211649,144.9743659,228.6307637,0.039172201,0.208371765,147.5000181,17
8314-6104,1.114008,154.5445023,9.327464962,0.0111494,0.039346228,151.5000158,12
8333-3704,1.451532,141.8817046,4.416358201,0.00330245,0.022598193,142.0000211,23
8333-6103,1.232991,175.4068299,17.40697991,0.048701164,0.356524385,18.50008972,21
8438-12703,1.764426,146.6566191,22.37711214,0.039753112,0.190042134,147.5000181,30
8447-6103,1.800657,155.0428423,8.453720567,0.022601822,0.042772946,169.0000061,37
8450-3701,1.318692,9.45783879,92.39595563,0.01948478,0.759123905,141.0000217,21
8479-12705,5.4,44.59928227,5.815241234,0.183003445,0.066668015,6.000096667,365
8479-9101,4.65,62.90710256,4.432077506,0.193345346,0.037317647,34.50008083,261
8481-3702,2.308926,39.36371851,1.389241952,0.018249511,0.01386795,46.00007444,63
8554-6102,1.605441,88.78396986,9.114481758,0.02260945,0.247294555,96.00004667,23
8554-6103,1.867245,54.62012339,5.320680451,0.121486299,0.141747713,115.0000361,33
8555-12704,2.133741,55.65532464,7.972273828,0.118869333,0.275837846,26.00008556,39
8555-6103,1.988787,155.9920081,10.32373253,0.052891079,0.089130287,1.500099167,39
8566-12701,1.868772,92.62579362,7.07785493,0.013535167,0.078427571,65.00006389,38
8591-6102,1.730265,78.15060286,29.4528824,0.254312129,0.324614154,50.50007194,36
8592-12703,1.521993,177.7644268,2.809379217,0.231730616,0.310370308,35.50008028,23
8593-3704,1.568937,26.36237672,2.585635651,0.011635436,0.015092486,28.50008417,21
8593-6102,1.083567,93.26385184,6.687204868,0.093348457,0.244435228,107.0000406,11
8598-6101,0.991698,37.03272348,20.49673222,0.02916311,0.164122401,45.50007472,9
8600-9101,2.107116,14.26388919,1.227063211,0.157598467,0.079830627,33.00008167,37
8603-6101,4.78629,32.90849905,28.0015537,0.542035854,0.15728874,157.0000128,203
8614-12701,4.15056,116.9732368,1.992804014,0.374487721,0.275097766,135.5000247,155
8615-12703,2.366307,30.59250308,91.43904545,0.121086899,0.098663279,48.00007333,51
8615-12704,2.279595,138.2672311,5.90814181,0.239743394,0.217119179,60.00006667,45
8626-6101,1.972065,70.57713538,5.14602121,0.026247039,0.032076241,72.50005972,41
8655-9101,2.11128,174.5884963,91.15164423,0.25173778,0.487019343,76.00005778,33
8714-3704,1.458756,131.8131689,6.342621405,0.015691796,0.020062255,115.0000361,23
8714-6103,2.230497,23.50623425,8.461945758,0.0389847,0.084473834,54.00007,57
8715-3701,1.49142,55.42747117,4.717676409,0.011680276,0.036478714,48.00007333,24
8717-1901,2.09466,110.5922365,6.251337482,0.09394788,0.297782858,137.0000239,41
8717-6103,1.095591,48.67304352,6.994146635,0.011475715,0.083791728,31.00008278,11
8721-9102,2.057037,23.49621797,4.715520949,0.089049805,0.055280304,34.50008083,47
8722-6102,1.841247,15.40511398,9.975917921,0.032314577,0.056491287,39.00007833,38
8943-3704,1.193373,168.4524179,11.883001,0.00418696,0.061882683,163.5000092,17
8946-12703,2.031603,161.9462318,6.322733325,0.056206511,0.089888781,12.00009333,45
8979-9102,1.396584,178.0365973,13.63701581,0.662061797,1.130379156,21.50008806,14
8984-6102,1.735392,77.95929685,33.91268744,0.153133726,0.100922017,84.00005333,34
8990-12702,4.38114,147.637115,14.61283047,0.215482232,0.061479915,22.00008778,201
8991-3702,2.398386,176.2398166,0.986288408,0.020555617,0.020730287,2.000098889,53
8994-6102,4.27698,42.91556292,10.57754829,0.610641295,0.464844212,180,157
8995-12703,3.25023,178.362041,3.099127512,0.919455187,0.696555219,165.0000083,116
8995-6103,1.153257,140.1578696,15.51977888,0.000338089,0.116220863,145.0000194,13
9002-12703,4.16556,153,1.229254022,0.216141736,0.125955758,104.5000419,143
9024-1901,1.055544,154.0321985,170.9708922,0.125432682,0.177608716,149.5000169,12
9030-12705,3.18615,28.4448698,3.452298705,0.709262389,0.364326558,161.0000106,113
9031-9102,2.171352,42.68348923,7.269367491,0.054826846,0.037121163,45.50007472,34
9033-6104,1.680057,87.01436675,41.7976793,0.116831898,0.442836047,145.5000192,31
9034-6104,1.993674,118.8370146,2.591191375,0.005907798,0.011510801,116.0000356,41
9039-12703,2.838867,172.2963115,2.971411494,0.029654075,0.041206083,177.0000017,69
9042-1901,0.454515,135.8731319,28.33756175,0.002004018,0.162289906,nan,1
9042-3702,1.444461,153.7830688,18.72582406,0.03899137,0.105844859,140.0000222,23
9043-12703,3.52023,169.3398723,2.632741163,0.062217672,0.051249064,153.000015,117
9043-3704,1.718574,2.826604841,16.62103304,0.012241867,0.04659425,3.000098333,37
9044-3702,0.824499,175.1256972,8.125851813,0.003033139,0.066125475,176.0000022,8
9044-6104,2.011503,11.45925572,9.89905019,0.005834308,0.042380436,12.50009306,39
9045-12705,2.752074,112.9404992,5.601183222,0.035557479,0.0424524,99.000045,74
9045-3701,1.917219,19.24393423,0.832932121,0.026732148,0.011728906,20.50008861,37
9088-6103,4.6797,139.2494525,23.98386454,0.777960213,1.202994221,2.000098889,239
9090-12701,0.804429,62.34592104,52.59195237,0.035253005,0.294898875,59.50006694,7
9091-3702,0.800229,93.80301195,47.83290226,0.142017531,0.759672603,117.000035,7
9092-6104,1.668918,44.91998497,13.63553865,0.008344385,0.13442622,67.5000625,25
9093-12703,3.10797,95.39362415,7.349274064,0.140667759,0.09452485,64.00006444,79
9094-9101,2.382141,52.11712813,3.108501142,0.01633694,0.021144957,51.50007139,53
9181-12702,4.89573,88.11850198,6.208314528,0.08606359,0.017637115,74.00005889,223
9182-12701,2.564121,172.4572709,0.616420533,0.026640031,0.016974779,169.5000058,58
9183-3701,3.15,38.35658228,10.07253831,0.730162957,0.831184392,173.5000036,121
9191-6103,1.995156,178.4439402,16.05446928,0.045947015,0.059019474,6.500096389,41
9192-6103,2.176266,80.36378131,26.33273278,0.181851231,0.226521364,130.5000275,51
9485-9101,2.137377,117.8569174,8.133763432,0.01748686,0.044937632,130.5000275,45
9494-9101,1.544661,26.79899689,9.370881637,0.111794197,0.132060981,132.0000267,22
9503-6103,1.908294,53.5906791,5.083327064,0.013708063,0.009978711,53.50007028,36
9506-3704,1.548564,39.01572273,12.3339109,0.032758191,0.096907759,42.50007639,22
9511-9102,2.113815,76.06249563,8.161927869,0.207637356,0.389649803,145.0000194,49
9883-6104,1.879791,64.90462463,3.351412478,0.01181109,0.01727374,59.50006694,41
9883-9101,2.530065,145.5234583,3.16468683,0.046618292,0.045603951,172.5000042,66
9885-12703,3.49806,108.615309,10.88346752,0.092951076,0.0612492,130.0000278,110
9887-6101,1.814559,133.6937953,3.694017169,0.034596054,0.068161436,136.5000242,31